# go_id	kind	status	crystal_refs	notes
spinner/spinner.go::struct::Spinner	struct	in_progress		heuristically matched; task created; inferred_by=type_name
spinner/spinner.go::struct::TickMsg	struct	in_progress		heuristically matched; task created; inferred_by=type_name
spinner/spinner.go::type::Option	type	missing		remaining backlog
spinner/spinner_test.go::test::TestSpinnerNew	test	missing		remaining backlog
stopwatch/stopwatch.go::func::New	func	in_progress		heuristically matched; task created; inferred_by=func_name
stopwatch/stopwatch.go::func::WithInterval	func	in_progress		heuristically matched; task created; inferred_by=func_name
stopwatch/stopwatch.go::method::Model.Elapsed	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
stopwatch/stopwatch.go::method::Model.ID	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
stopwatch/stopwatch.go::method::Model.Init	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
stopwatch/stopwatch.go::method::Model.Reset	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
stopwatch/stopwatch.go::method::Model.Running	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
stopwatch/stopwatch.go::method::Model.Start	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
stopwatch/stopwatch.go::method::Model.Stop	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
stopwatch/stopwatch.go::method::Model.Toggle	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
stopwatch/stopwatch.go::method::Model.Update	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
stopwatch/stopwatch.go::method::Model.View	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
stopwatch/stopwatch.go::struct::Model	struct	in_progress		heuristically matched; task created; inferred_by=type_name
stopwatch/stopwatch.go::struct::ResetMsg	struct	in_progress		heuristically matched; task created; inferred_by=type_name
stopwatch/stopwatch.go::struct::StartStopMsg	struct	in_progress		heuristically matched; task created; inferred_by=type_name
stopwatch/stopwatch.go::struct::TickMsg	struct	in_progress		heuristically matched; task created; inferred_by=type_name
stopwatch/stopwatch.go::type::Option	type	missing		remaining backlog
table/table.go::func::DefaultKeyMap	func	in_progress		heuristically matched; task created; inferred_by=func_name
table/table.go::func::DefaultStyles	func	in_progress		heuristically matched; task created; inferred_by=func_name
table/table.go::func::New	func	in_progress		heuristically matched; task created; inferred_by=func_name
table/table.go::func::WithColumns	func	in_progress		heuristically matched; task created; inferred_by=func_name
table/table.go::func::WithFocused	func	in_progress		heuristically matched; task created; inferred_by=func_name
table/table.go::func::WithHeight	func	in_progress		heuristically matched; task created; inferred_by=func_name
table/table.go::func::WithKeyMap	func	in_progress		heuristically matched; task created; inferred_by=func_name
table/table.go::func::WithRows	func	in_progress		heuristically matched; task created; inferred_by=func_name
table/table.go::func::WithStyles	func	in_progress		heuristically matched; task created; inferred_by=func_name
table/table.go::func::WithWidth	func	in_progress		heuristically matched; task created; inferred_by=func_name
table/table.go::method::KeyMap.FullHelp	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::KeyMap.ShortHelp	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.Blur	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.Columns	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.Cursor	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.Focus	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.Focused	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.FromValues	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.GotoBottom	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.GotoTop	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.Height	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.HelpView	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.MoveDown	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.MoveUp	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.Rows	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.SelectedRow	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.SetColumns	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.SetCursor	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.SetHeight	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.SetRows	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.SetStyles	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.SetWidth	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.Update	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.UpdateViewport	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.View	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::method::Model.Width	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
table/table.go::struct::Column	struct	in_progress		heuristically matched; task created; inferred_by=type_name
table/table.go::struct::KeyMap	struct	in_progress		heuristically matched; task created; inferred_by=type_name
table/table.go::struct::Model	struct	in_progress		heuristically matched; task created; inferred_by=type_name
table/table.go::struct::Styles	struct	in_progress		heuristically matched; task created; inferred_by=type_name
table/table.go::type::Option	type	missing		remaining backlog
table/table.go::type::Row	type	missing		remaining backlog
table/table_test.go::test::TestCursorNavigation	test	missing		remaining backlog
table/table_test.go::test::TestModel_FromValues	test	missing		remaining backlog
table/table_test.go::test::TestModel_FromValues_WithTabSeparator	test	missing		remaining backlog
table/table_test.go::test::TestModel_RenderRow	test	missing		remaining backlog
table/table_test.go::test::TestModel_RenderRow_AnsiWidth	test	missing		remaining backlog
table/table_test.go::test::TestModel_SetColumns	test	missing		remaining backlog
table/table_test.go::test::TestModel_SetRows	test	missing		remaining backlog
table/table_test.go::test::TestModel_View	test	missing		remaining backlog
table/table_test.go::test::TestModel_View_CenteredInABox	test	missing		remaining backlog
table/table_test.go::test::TestNew	test	missing		remaining backlog
table/table_test.go::test::TestTableAlignment	test	missing		remaining backlog
textarea/textarea.go::func::Blink	func	in_progress		heuristically matched; task created; inferred_by=func_name
textarea/textarea.go::func::DefaultDarkStyles	func	in_progress		heuristically matched; task created; inferred_by=func_name
textarea/textarea.go::func::DefaultKeyMap	func	in_progress		heuristically matched; task created; inferred_by=func_name
textarea/textarea.go::func::DefaultLightStyles	func	in_progress		heuristically matched; task created; inferred_by=func_name
textarea/textarea.go::func::DefaultStyles	func	in_progress		heuristically matched; task created; inferred_by=func_name
textarea/textarea.go::func::New	func	in_progress		heuristically matched; task created; inferred_by=func_name
textarea/textarea.go::func::Paste	func	in_progress		heuristically matched; task created; inferred_by=func_name
textarea/textarea.go::method::Model.Blur	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.Column	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.Cursor	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.CursorDown	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.CursorEnd	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.CursorStart	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.CursorUp	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.Focus	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.Focused	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.Height	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.InsertRune	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.InsertString	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.Length	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.Line	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.LineCount	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.LineInfo	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.MoveToBegin	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.MoveToEnd	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.PageDown	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.PageUp	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.Reset	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.ScrollPercent	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.ScrollYOffset	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.SetCursorColumn	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.SetHeight	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.SetPromptFunc	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.SetStyles	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.SetValue	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.SetVirtualCursor	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.SetWidth	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.Styles	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.Update	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.Value	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.View	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
textarea/textarea.go::method::Model.VirtualCursor	method	in_progress		heuristically matched; task created; inferred_by=method_or_property_name
